donor,cycle,candidate,national_party,other_party,pac
national_party,2014,5000,no limit,no limit,5000
other_party,2014,5000,no limit,no limit,5000
multi_pac,2014,5000,15000,5000,5000
non_multi_pac,2014,2600,32400,10000,5000
national_party,2012,5000,no limit,no limit,5000
other_party,2012,5000,no limit,no limit,5000
multi_pac,2012,5000,15000,5000,5000
non_multi_pac,2012,2500,30800,10000,5000
national_party,2010,5000,no limit,no limit,5000
other_party,2010,5000,no limit,no limit,5000
multi_pac,2010,5000,15000,5000,5000
non_multi_pac,2010,2500,30400,10000,5000
national_party,2008,5000,no limit,no limit,5000
other_party,2008,5000,no limit,no limit,5000
multi_pac,2008,5000,15000,5000,5000
non_multi_pac,2008,2300,28500,10000,5000
national_party,2006,5000,no limit,no limit,5000
other_party,2006,5000,no limit,no limit,5000
multi_pac,2006,5000,15000,5000,5000
non_multi_pac,2006,2100,25000,10000,5000
national_party,2004,5000,no limit,no limit,5000
other_party,2004,5000,no limit,no limit,5000
multi_pac,2004,5000,15000,5000,5000
non_multi_pac,2004,2000,25000,10000,5000
