report_type,year,weight,,,
12C,even,100,2,50,0.25
12G,even,100,2,50,0.25
12P,even,100,2,50,0.25
12R,even,100,2,50,0.25
12S,even,100,2,50,0.25
30G,even,100,2,50,0.25
30R,even,100,2,50,0.25
30S,even,100,2,50,0.25
M10,even,100,2,50,0.25
M11,even,100,2,50,0.25
M12,even,100,2,50,0.25
M2,even,300,6,50,0.75
M3,even,300,6,50,0.75
M4,even,300,6,50,0.75
M5,even,200,4,50,0.50
M6,even,200,4,50,0.50
M7,even,100,2,50,0.25
M8,even,100,2,50,0.25
M9,even,100,2,50,0.25
MY,even,100,2,50,0.25
Q1,even,300,6,50,0.75
Q2,even,200,4,50,0.50
Q3,even,100,2,50,0.25
TER,even,100,2,50,0.25
YE,even,100,2,50,0.25
12C,odd,100,2,50,0.25
12G,odd,100,2,50,0.25
12P,odd,100,2,50,0.25
12R,odd,100,2,50,0.25
12S,odd,100,2,50,0.25
30G,odd,100,2,50,0.25
30R,odd,100,2,50,0.25
30S,odd,100,2,50,0.25
M10,odd,200,4,50,0.50
M11,odd,200,4,50,0.50
M12,odd,200,4,50,0.50
M2,odd,400,8,50,1.00
M3,odd,400,8,50,1.00
M4,odd,300,6,50,0.75
M5,odd,300,6,50,0.75
M6,odd,300,6,50,0.75
M7,odd,200,4,50,0.50
M8,odd,200,4,50,0.50
M9,odd,200,4,50,0.50
MY,odd,300,6,50,0.75
Q1,odd,100,2,50,0.25
Q2,odd,300,6,50,0.75
Q3,odd,200,4,50,0.50
TER,odd,100,2,50,0.25
YE,odd,100,2,50,0.25
