1,C00555524,18-29 PAC,QUARTERLY FILER
2,C00508200,1911 UNITED,QUARTERLY FILER
3,C00567800,314 PAC,QUARTERLY FILER
4,C00502633,50 STATE STRATEGY,QUARTERLY FILER
5,C00541557,77 MILLION REPUBLICANS FUND,QUARTERLY FILER
6,C00504241,9-9-9 FUND,QUARTERLY FILER
7,C00525998,A CANTOR OUT OF TUNE,QUARTERLY FILER
8,C00508952,A SUPERPAC,QUARTERLY FILER
9,C00519991,ABAMCIS SECURING THE SECOND AMENDMENT FOR AMERICA'S FUTURE,QUARTERLY FILER
10,C00527754,ABBEY ROAD,QUARTERLY FILER
11,C00523878,ABOLISH RECALLS,QUARTERLY FILER
12,C00513507,ACCOMPLISH OUR MISSION,QUARTERLY FILER
13,C00489641,ACCOUNTABILITY 2010,QUARTERLY FILER
14,C00569996,ACTION PAC,QUARTERLY FILER
15,C00508788,ACTION4LIBERTY,QUARTERLY FILER
16,C00566711,ACTUAL CITIZENS UNITED,QUARTERLY FILER
17,C00526061,ADVANCING FREEDOM ACTION NETWORK,QUARTERLY FILER
18,C00570093,ADVANCING FREEDOM FUND,QUARTERLY FILER
19,C00540047,ADVANCING INTERNATIONAL RELATIONS,QUARTERLY FILER
20,C00523159,AFFORDABLE HEALTH CARE FOR AMERICA PAC,QUARTERLY FILER
21,C00541771,AFRICAN AMERICAN SUPER PAC,QUARTERLY FILER
22,C00567560,AG AMERICA,QUARTERLY FILER
23,C00541920,AKYUMEN SOCIETY; THE,QUARTERLY FILER
24,C00543819,ALABAMA DEMOCRATIC MAJORITY,QUARTERLY FILER
25,C00526087,ALABAMA HORSE ASSOCIATION,QUARTERLY FILER
26,C00527598,ALASKA HORSE ASSOCIATION,QUARTERLY FILER
27,C00569277,ALASKA PRIORITIES,QUARTERLY FILER
28,C00566729,ALASKA RIGHT TO LIFE FEDERAL VICTORY FUND,QUARTERLY FILER
29,C00564047,ALASKA SALMONPAC,QUARTERLY FILER
30,C00552414,ALASKA'S ENERGY / AMERICA'S VALUES,QUARTERLY FILER
31,C00489385,ALASKANS STANDING TOGETHER,QUARTERLY FILER
32,C00564351,ALL CITIZENS FOR MISSISSIPPI,QUARTERLY FILER
33,C00565069,ALL IN FOR AMERICA PAC,QUARTERLY FILER
34,C00564013,ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,QUARTERLY FILER
35,C00569343,ALLIANCE FOR A BETTER RHODE ISLAND,QUARTERLY FILER
36,C00546986,ALLIANCE FOR THE NEXT GENERATION,MONTHLY FILER
37,C00520411,AMERICA 360 COMMITTEE,QUARTERLY FILER
38,C00542522,AMERICA 365,QUARTERLY FILER
39,C00567974,AMERICA FIRST,QUARTERLY FILER
40,C00559757,AMERICA FOR TECHNOCRATIC ACTION ATA,QUARTERLY FILER
41,C00532820,AMERICA FRIENDSHIP INC,QUARTERLY FILER
42,C00565333,AMERICA IN ACTION,QUARTERLY FILER
43,C00542381,AMERICA MATTERS,QUARTERLY FILER
44,C00526012,AMERICA ON THE MOVE,QUARTERLY FILER
45,C00560383,AMERICA UNLEASHED SUPER PAC,MONTHLY FILER
46,C00492520,AMERICA VOTES ACTION FUND,QUARTERLY FILER
47,C00487744,AMERICA'S FAMILIES FIRST ACTION FUND,QUARTERLY FILER
48,C00532572,AMERICA'S LIBERTY PAC,QUARTERLY FILER
49,C00491373,AMERICA'S NEXT GENERATION LLC D/B/A THE NEXT GENERATION,QUARTERLY FILER
50,C00521575,AMERICA'S ROAD AHEAD FUND,QUARTERLY FILER
51,C00570242,AMERICA'S TOMORROW,QUARTERLY FILER
52,C00567016,AMERICAN ALLIANCE,QUARTERLY FILER
53,C00523092,AMERICAN ALLIANCE FOR AFRICA PAC,QUARTERLY FILER
54,C00492140,AMERICAN BRIDGE 21ST CENTURY,QUARTERLY FILER
55,C00498725,AMERICAN CITIZENS OF MODEST MEANS A COMM,QUARTERLY FILER
56,C00547265,AMERICAN COMMITMENT ACTION FUND,QUARTERLY FILER
57,C00505792,AMERICAN CONSERVATIVE UNION SUPER PAC,MONTHLY FILER
58,C00487363,AMERICAN CROSSROADS,MONTHLY FILER
59,C00488338,AMERICAN DENTAL ASSOCIATION INDEPENDENT EXPENDITURES COMMITTEE,QUARTERLY FILER
60,C00568543,AMERICAN FREEDOM BUILDERS ACTION NETWORK,QUARTERLY FILER
61,C00562553,AMERICAN FREEDOM SUPER PAC,QUARTERLY FILER
62,C00548867,AMERICAN HEARTLAND PAC,QUARTERLY FILER
